PassengerId,Name,Sex,Age,Parch,Fare,Cabin,Embarked,Birthday,Board time,Married since,all_NA
1,"Braund, Mr. Owen Harris",male,22,0,7.25,,S,1937-06-07,13:17:47,2022-07-21 17:34:14,
2,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,38,0,71.2833,C85,C,1917-04-06,16:10:59,2022-08-09 21:00:09,
3,"Heikkinen, Miss. Laina",female,26,0,7.925,,S,1910-09-13,17:46:26,2022-08-07 22:47:31,
4,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35,0,53.1,C123,S,1938-08-18,10:52:32,2022-08-03 08:37:45,
5,"Allen, Mr. William Henry",male,35,0,8.05,,S,1932-02-09,15:38:14,2022-08-02 08:46:23,
6,"Moran, Mr. James",male,,0,8.4583,,Q,1934-12-13,16:50:50,2022-07-17 13:40:34,
7,"McCarthy, Mr. Timothy J",male,54,0,51.8625,E46,S,1919-09-27,13:53:17,,
8,"Palsson, Master. Gosta Leonard",male,2,1,21.075,,S,1919-03-30,14:50:02,2022-07-18 15:43:28,
9,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27,2,11.1333,,S,1931-06-06,12:55:12,2022-07-20 08:20:03,
10,"Nasser, Mrs. Nicholas (Adele Achem)",female,14,0,30.0708,,C,1924-08-16,16:25:59,2022-08-06 01:22:23,
11,"Sandstrom, Miss. Marguerite Rut",female,4,1,16.7,G6,S,1936-03-08,16:12:12,2022-07-31 06:23:36,
12,"Bonnell, Miss. Elizabeth",female,58,0,26.55,C103,S,1936-01-05,13:33:02,2022-08-01 17:09:23,
13,"Saundercock, Mr. William Henry",male,20,0,8.05,,S,1908-03-06,18:01:26,2022-08-04 10:58:47,
14,"Andersson, Mr. Anders Johan",male,39,5,31.275,,S,1939-09-20,,2022-08-14 02:21:46,
15,"Vestrom, Miss. Hulda Amanda Adolfina",female,14,0,7.8542,,S,1929-09-19,15:57:29,2022-07-20 08:29:38,
16,"Hewlett, Mrs. (Mary D Kingcome) ",female,55,0,16.0,,S,1904-01-19,12:56:29,2022-07-19 13:11:36,
17,"Rice, Master. Eugene",male,2,1,29.125,,Q,1905-12-21,17:41:38,2022-07-15 19:55:01,
18,"Williams, Mr. Charles Eugene",male,,0,13.0,,S,1921-07-07,,2022-08-09 14:20:15,
19,"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,31,0,18.0,,S,1910-10-01,15:17:52,2022-08-02 08:52:10,
20,"Masselmani, Mrs. Fatima",female,,0,7.225,,C,1924-03-19,13:29:08,2022-08-06 17:47:22,
21,"Fynney, Mr. Joseph J",male,35,0,26.0,,S,1914-06-01,16:50:19,2022-07-27 03:57:39,
22,"Beesley, Mr. Lawrence",male,34,0,13.0,D56,S,1915-05-15,17:56:36,2022-07-22 12:46:18,
23,"McGowan, Miss. Anna ""Annie""",female,15,0,8.0292,,Q,1925-02-01,12:21:35,2022-08-09 12:31:38,
24,"Sloper, Mr. William Thompson",male,28,0,35.5,A6,S,1916-06-13,13:26:06,2022-07-30 18:02:09,
25,"Palsson, Miss. Torborg Danira",female,8,1,21.075,,S,1928-06-03,12:55:28,2022-07-25 20:54:10,
26,"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,38,5,31.3875,,S,1927-10-13,,2022-07-16 07:07:39,
27,"Emir, Mr. Farred Chehab",male,,0,7.225,,C,1922-05-08,,2022-08-08 14:31:56,
28,"Fortune, Mr. Charles Alexander",male,19,2,263.0,C23 C25 C27,S,1929-06-10,11:19:40,2022-07-24 07:37:40,
29,"O'Dwyer, Miss. Ellen ""Nellie""",female,,0,7.8792,,Q,1933-12-05,12:20:59,,
30,"Todoroff, Mr. Lalio",male,,0,7.8958,,S,,16:09:25,2022-08-10 14:08:24,
31,"Uruchurtu, Don. Manuel E",male,40,0,27.7208,,C,1918-02-26,18:34:17,2022-07-26 18:01:29,
32,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,0,146.5208,B78,C,1905-10-15,15:08:54,2022-08-09 17:27:43,
33,"Glynn, Miss. Mary Agatha",female,,0,7.75,,Q,1930-02-09,15:29:32,2022-07-30 04:22:28,
34,"Wheadon, Mr. Edward H",male,66,0,10.5,,S,,12:39:07,2022-08-15 03:52:14,
35,"Meyer, Mr. Edgar Joseph",male,28,0,82.1708,,C,1907-12-03,16:04:55,2022-07-25 18:05:42,
36,"Holverson, Mr. Alexander Oskar",male,42,0,52.0,,S,1935-08-26,13:22:07,2022-07-28 08:13:51,
37,"Mamee, Mr. Hanna",male,,0,7.2292,,C,1933-02-21,17:32:27,2022-07-18 10:36:50,
38,"Cann, Mr. Ernest Charles",male,21,0,8.05,,S,1914-06-29,18:01:15,2022-08-04 22:41:29,
39,"Vander Planke, Miss. Augusta Maria",female,18,0,18.0,,S,1927-03-14,13:45:48,2022-07-20 11:18:36,
40,"Nicola-Yarred, Miss. Jamila",female,14,0,11.2417,,C,1918-11-10,11:41:52,2022-07-30 20:22:09,
41,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40,0,9.475,,S,1930-12-29,15:37:27,2022-07-20 19:56:26,
42,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,27,0,21.0,,S,1932-11-22,,2022-07-22 04:37:29,
43,"Kraeff, Mr. Theodor",male,,0,7.8958,,C,1935-05-05,17:48:26,2022-08-04 03:37:55,
44,"Laroche, Miss. Simonne Marie Anne Andree",female,3,2,41.5792,,C,1914-01-14,16:42:23,2022-08-06 00:56:34,
45,"Devaney, Miss. Margaret Delia",female,19,0,7.8792,,Q,1923-09-25,16:53:01,2022-07-23 19:30:29,
46,"Rogers, Mr. William John",male,,0,8.05,,S,1931-11-26,,2022-07-19 02:31:59,
47,"Lennon, Mr. Denis",male,,0,15.5,,Q,1908-10-28,,2022-08-10 08:17:00,
48,"O'Driscoll, Miss. Bridget",female,,0,7.75,,Q,1911-07-31,17:52:43,2022-08-05 20:58:41,
49,"Samaan, Mr. Youssef",male,,0,21.6792,,C,1931-07-30,10:44:04,2022-08-06 23:11:30,
50,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18,0,17.8,,S,1918-10-16,12:51:08,,
51,"Panula, Master. Juha Niilo",male,7,1,39.6875,,S,1928-05-03,16:32:55,2022-08-02 13:45:48,
52,"Nosworthy, Mr. Richard Cater",male,21,0,7.8,,S,1936-02-14,15:31:30,2022-07-26 10:43:54,
53,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49,0,76.7292,D33,C,,11:10:14,2022-08-06 19:55:33,
54,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29,0,26.0,,S,1926-03-24,11:09:32,2022-07-31 04:02:19,
55,"Ostby, Mr. Engelhart Cornelius",male,65,1,61.9792,B30,C,1938-11-10,14:28:17,2022-07-26 21:21:06,
56,"Woolner, Mr. Hugh",male,,0,35.5,C52,S,1927-08-21,,2022-07-31 16:28:29,
57,"Rugg, Miss. Emily",female,21,0,10.5,,S,,15:55:01,2022-07-25 18:57:30,
58,"Novel, Mr. Mansouer",male,28,0,7.2292,,C,,12:57:39,2022-07-21 19:00:58,
59,"West, Miss. Constance Mirium",female,5,2,27.75,,S,1937-11-08,11:53:12,2022-08-13 19:14:19,
60,"Goodwin, Master. William Frederick",male,11,2,46.9,,S,1929-01-02,13:20:58,2022-07-18 21:30:56,
61,"Sirayanian, Mr. Orsen",male,22,0,7.2292,,C,,15:12:29,2022-08-09 13:52:40,
62,"Icard, Miss. Amelie",female,38,0,80.0,B28,,1903-11-22,14:52:07,2022-08-10 21:57:28,
63,"Harris, Mr. Henry Birkhardt",male,45,0,83.475,C83,S,1933-07-26,,2022-08-13 21:40:53,
64,"Skoog, Master. Harald",male,4,2,27.9,,S,1913-03-29,12:56:59,2022-08-04 03:39:14,
65,"Stewart, Mr. Albert A",male,,0,27.7208,,C,1910-12-21,18:20:47,2022-08-14 08:18:40,
66,"Moubarek, Master. Gerios",male,,1,15.2458,,C,1924-06-27,12:27:20,2022-07-22 05:31:11,
67,"Nye, Mrs. (Elizabeth Ramell)",female,29,0,10.5,F33,S,1923-02-27,,2022-08-09 04:27:07,
68,"Crease, Mr. Ernest James",male,19,0,8.1583,,S,1905-08-16,17:50:44,2022-08-07 15:29:45,
69,"Andersson, Miss. Erna Alexandra",female,17,2,7.925,,S,1910-12-16,11:49:20,2022-08-11 23:50:41,
70,"Kink, Mr. Vincenz",male,26,0,8.6625,,S,1938-12-06,11:54:54,2022-08-07 10:36:16,
71,"Jenkin, Mr. Stephen Curnow",male,32,0,10.5,,S,1936-07-14,15:15:05,2022-07-25 04:02:52,
72,"Goodwin, Miss. Lillian Amy",female,16,2,46.9,,S,1933-09-19,17:14:51,2022-08-04 22:39:56,
73,"Hood, Mr. Ambrose Jr",male,21,0,73.5,,S,1925-04-22,18:10:20,2022-07-30 05:29:49,
74,"Chronopoulos, Mr. Apostolos",male,26,0,14.4542,,C,1919-03-21,13:21:02,2022-08-07 07:39:54,
75,"Bing, Mr. Lee",male,32,0,56.4958,,S,,,2022-07-22 11:27:24,
76,"Moen, Mr. Sigurd Hansen",male,25,0,7.65,F G73,S,1920-06-29,13:50:07,2022-07-15 16:22:20,
77,"Staneff, Mr. Ivan",male,,0,7.8958,,S,1911-04-25,18:18:23,2022-08-09 23:32:33,
78,"Moutal, Mr. Rahamin Haim",male,,0,8.05,,S,1929-01-07,15:11:52,2022-07-24 13:36:10,
79,"Caldwell, Master. Alden Gates",male,1,2,29.0,,S,1934-09-24,15:30:18,2022-08-10 18:55:02,
80,"Dowdell, Miss. Elizabeth",female,30,0,12.475,,S,1930-12-14,16:55:07,2022-08-01 12:50:06,
81,"Waelens, Mr. Achille",male,22,0,9.0,,S,1927-09-18,11:38:30,,
82,"Sheerlinck, Mr. Jan Baptist",male,29,0,9.5,,S,1912-10-19,13:56:59,2022-07-24 00:46:27,
83,"McDermott, Miss. Brigdet Delia",female,,0,7.7875,,Q,1903-07-25,14:40:28,2022-08-15 01:52:41,
84,"Carrau, Mr. Francisco M",male,28,0,47.1,,S,1938-05-10,18:02:19,2022-08-05 02:47:07,
85,"Ilett, Miss. Bertha",female,17,0,10.5,,S,1940-05-03,16:19:06,2022-07-17 06:17:27,
86,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33,0,15.85,,S,,14:50:39,2022-07-20 11:02:30,
87,"Ford, Mr. William Neal",male,16,3,34.375,,S,1936-08-21,13:04:18,,
88,"Slocovski, Mr. Selman Francis",male,,0,8.05,,S,1924-11-22,16:56:33,2022-07-23 03:59:14,
89,"Fortune, Miss. Mabel Helen",female,23,2,263.0,C23 C25 C27,S,1912-02-17,16:31:03,2022-08-13 07:05:50,
90,"Celotti, Mr. Francesco",male,24,0,8.05,,S,1932-12-22,18:24:35,2022-07-20 23:41:12,
91,"Christmann, Mr. Emil",male,29,0,8.05,,S,1936-09-25,15:34:44,2022-07-22 07:31:56,
92,"Andreasson, Mr. Paul Edvin",male,20,0,7.8542,,S,1933-01-20,14:44:17,2022-08-09 12:30:28,
93,"Chaffee, Mr. Herbert Fuller",male,46,0,61.175,E31,S,1940-03-16,15:23:40,2022-07-30 02:04:11,
94,"Dean, Mr. Bertram Frank",male,26,2,20.575,,S,1924-12-27,17:28:55,2022-08-09 18:16:05,
95,"Coxon, Mr. Daniel",male,59,0,7.25,,S,1916-09-12,15:11:58,2022-07-16 21:37:41,
96,"Shorney, Mr. Charles Joseph",male,,0,8.05,,S,1935-09-23,15:08:30,2022-07-16 15:01:46,
97,"Goldschmidt, Mr. George B",male,71,0,34.6542,A5,C,1936-12-23,15:19:52,2022-07-22 10:16:17,
98,"Greenfield, Mr. William Bertram",male,23,1,63.3583,D10 D12,C,,17:07:37,2022-07-20 21:50:35,
99,"Doling, Mrs. John T (Ada Julia Bone)",female,34,1,23.0,,S,1919-07-01,12:53:31,2022-08-15 10:11:07,
100,"Kantor, Mr. Sinai",male,34,0,26.0,,S,1935-12-07,15:51:37,2022-08-15 03:11:41,
101,"Petranec, Miss. Matilda",female,28,0,7.8958,,S,1939-02-15,13:27:34,2022-07-21 13:23:47,
102,"Petroff, Mr. Pastcho (""Pentcho"")",male,,0,7.8958,,S,1939-05-16,16:41:55,2022-08-09 05:17:26,
103,"White, Mr. Richard Frasar",male,21,1,77.2875,D26,S,1913-11-12,10:41:09,2022-07-31 04:49:56,
104,"Johansson, Mr. Gustaf Joel",male,33,0,8.6542,,S,1936-01-15,10:47:03,2022-08-11 12:57:36,
105,"Gustafsson, Mr. Anders Vilhelm",male,37,0,7.925,,S,1926-12-08,17:46:12,,
106,"Mionoff, Mr. Stoytcho",male,28,0,7.8958,,S,1940-03-11,14:35:01,2022-07-24 04:13:52,
107,"Salkjelsvik, Miss. Anna Kristine",female,21,0,7.65,,S,1925-12-07,10:53:44,2022-08-05 11:46:59,
108,"Moss, Mr. Albert Johan",male,,0,7.775,,S,1919-01-22,17:39:29,2022-07-16 01:56:26,
109,"Rekic, Mr. Tido",male,38,0,7.8958,,S,,11:13:17,2022-07-19 13:17:56,
110,"Moran, Miss. Bertha",female,,0,24.15,,Q,1924-03-12,12:03:27,2022-07-29 09:22:15,
111,"Porter, Mr. Walter Chamberlain",male,47,0,52.0,C110,S,1930-04-27,,,
