PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported
0001_01,Europa,False,B/0/P,TRAPPIST-1e,39,False,0,0,0,0,0,Maham Ofracculy,False
0002_01,Earth,False,F/0/S,TRAPPIST-1e,24,False,109,9,25,549,44,Juanna Vines,True
0003_01,Europa,False,A/0/S,TRAPPIST-1e,58,True,43,3576,0,6715,49,Altark Susent,False
0003_02,Europa,False,A/0/S,TRAPPIST-1e,33,False,0,1283,371,3329,193,Solam Susent,False
0004_01,Earth,False,F/1/S,TRAPPIST-1e,16,False,303,70,151,565,2,Willy Santantines,True
0005_01,Earth,False,F/0/P,PSO J318.5-22,44,False,0,483,0,291,0,Sandie Hinetthews,True
0006_01,Earth,False,F/2/S,TRAPPIST-1e,26,False,42,1539,3,0,0,Billex Jacostaffey,True
0006_02,Earth,True,G/0/S,TRAPPIST-1e,28,False,0,0,0,0,,Candra Jacostaffey,True
0007_01,Earth,False,F/3/S,TRAPPIST-1e,35,False,0,785,17,216,0,Andona Beston,True
0008_01,Europa,True,B/1/P,55 Cancri e,14,False,0,0,0,0,0,Erraiam Flatic,True
0008_02,Europa,True,B/1/P,TRAPPIST-1e,34,False,0,0,,0,0,Altardr Flatic,True
0008_03,Europa,False,B/1/P,55 Cancri e,45,False,39,7295,589,110,124,Wezena Flatic,True
0009_01,Mars,False,F/1/P,TRAPPIST-1e,32,False,73,0,1123,0,113,Berers Barne,True
0010_01,Earth,False,G/1/S,TRAPPIST-1e,48,False,719,1,65,0,24,Reney Baketton,False
0011_01,Earth,False,F/2/P,TRAPPIST-1e,28,False,8,974,12,2,7,Elle Bertsontry,True
0012_01,Earth,False,,TRAPPIST-1e,31,False,32,0,876,0,0,Justie Pooles,False
0014_01,Mars,False,F/3/P,55 Cancri e,27,False,1286,122,,0,0,Flats Eccle,False
0015_01,Earth,False,F/4/P,55 Cancri e,24,False,0,1,0,0,637,Carry Hughriend,False
0016_01,Mars,True,F/5/P,TRAPPIST-1e,45,False,0,0,0,0,0,Alus Upead,True
0017_01,Earth,False,G/0/P,TRAPPIST-1e,0,False,0,0,0,0,0,Lyde Brighttt,True
0017_02,Earth,False,F/6/P,55 Cancri e,14,False,412,0,1,0,679,Philda Brighttt,False
0020_01,Earth,True,E/0/S,TRAPPIST-1e,1,False,0,0,0,0,0,Almary Brantuarez,False
0020_02,Earth,True,E/0/S,55 Cancri e,49,False,0,0,0,0,0,Glendy Brantuarez,False
0020_03,Earth,True,E/0/S,55 Cancri e,29,False,0,0,,0,0,Mollen Mcfaddennon,False
0020_04,Earth,False,E/0/S,TRAPPIST-1e,10,False,0,0,0,0,0,Breney Jacostanley,True
0020_05,Earth,True,E/0/S,PSO J318.5-22,1,False,,0,0,0,0,Mael Brantuarez,False
0020_06,Earth,False,E/0/S,TRAPPIST-1e,7,False,0,0,0,0,0,Terta Mcfaddennon,False
0022_01,Mars,False,D/0/P,TRAPPIST-1e,21,False,980,2,69,0,0,,False
0024_01,Europa,True,C/2/S,TRAPPIST-1e,62,False,0,0,,0,0,Penton Fullided,True
0025_01,Earth,False,F/6/S,TRAPPIST-1e,15,False,0,225,0,998,0,Karard Brookenson,False
0026_01,Europa,False,C/0/P,55 Cancri e,34,False,22,6073,0,1438,328,Anyoni Unconary,False
0028_01,Mars,False,F/8/P,TRAPPIST-1e,43,False,1125,0,136,48,0,Ceros Mare,False
0030_01,Earth,False,G/4/S,TRAPPIST-1e,32,False,0,850,81,437,453,Ginia Morsentley,False
0031_01,Mars,False,F/9/P,TRAPPIST-1e,47,False,214,0,1411,0,1229,Coobix Datie,True
0031_02,Mars,False,F/9/P,TRAPPIST-1e,2,False,0,0,0,0,0,Cinets Datie,True
0031_03,Mars,False,F/9/P,TRAPPIST-1e,20,False,,0,1750,990,0,Dontch Datie,True
0034_01,Europa,True,D/1/S,55 Cancri e,28,False,0,0,0,0,0,Ziba Oingwhedly,True
0035_01,Mars,False,D/1/P,55 Cancri e,23,False,784,964,0,951,0,Luse Butte,False
0036_01,Earth,False,F/8/S,55 Cancri e,15,,0,492,48,20,401,Marina Leodger,False
0038_01,Earth,False,F/10/S,55 Cancri e,20,False,554,195,0,2606,0,Loise Wheelez,False
0039_01,Earth,True,G/1/P,55 Cancri e,30,False,0,0,,0,0,Jorgie Batthewitt,False
0041_01,Earth,True,G/2/P,TRAPPIST-1e,17,False,0,0,0,0,0,Margia Moodsey,True
0043_01,Europa,False,B/3/P,TRAPPIST-1e,45,False,0,164,45,2511,855,Ankalik Cylistrand,False
0044_01,Earth,True,G/3/P,TRAPPIST-1e,55,False,0,0,0,0,0,Jodye Coopelandez,False
0044_02,Earth,True,G/3/P,55 Cancri e,4,False,0,0,0,0,0,Kayne Coopelandez,True
0044_03,Earth,True,G/3/P,PSO J318.5-22,21,False,0,0,0,0,0,Cassa Coopelandez,True
0045_01,Mars,False,F/10/P,TRAPPIST-1e,21,False,970,0,180,0,64,Zelowl Chmad,False
0045_02,Mars,True,F/10/P,,19,False,0,0,0,0,0,Mass Chmad,True
0050_01,Earth,False,E/1/S,55 Cancri e,35,False,790,0,0,,0,Sony Lancis,False
0051_01,Earth,False,E/2/S,TRAPPIST-1e,56,False,0,112,0,1379,127,Vivia Johnshines,False
0052_01,Earth,False,G/6/S,TRAPPIST-1e,,False,4,0,2,4683,0,Elaney Hubbarton,False
0053_01,Earth,False,F/11/S,TRAPPIST-1e,25,False,0,0,1938,0,1,Elson Hickerson,True
0056_01,Europa,False,A/1/S,TRAPPIST-1e,2,False,0,0,0,0,0,Okulas Tractive,True
0056_02,Europa,True,A/1/S,TRAPPIST-1e,38,False,0,0,0,0,0,Instab Tractive,True
0056_03,Europa,False,A/1/S,TRAPPIST-1e,27,False,279,605,3374,286,3,Zinoces Tractive,True
0058_01,Earth,True,G/7/S,PSO J318.5-22,36,False,0,0,0,0,0,Warry Ayalazquez,False
0061_01,Earth,False,F/12/S,TRAPPIST-1e,22,False,45,1096,148,1377,1,Shanya Salez,False
0062_01,Earth,False,F/13/S,TRAPPIST-1e,62,False,0,592,0,17,25,Sterry Greeves,False
0064_01,Mars,True,F/14/S,TRAPPIST-1e,15,False,0,0,0,0,0,,True
0064_02,,True,E/3/S,TRAPPIST-1e,33,False,0,0,,0,0,Colatz Keen,True
0066_01,Earth,False,G/6/P,TRAPPIST-1e,62,False,1,153,197,0,460,Diandy Pecketton,False
0067_01,Earth,True,G/10/S,PSO J318.5-22,0,False,0,0,0,0,0,Ninaha Leeves,True
0067_02,Earth,False,G/10/S,TRAPPIST-1e,18,False,1,258,446,0,0,Celine Leeves,True
0067_03,Earth,False,F/15/S,55 Cancri e,21,False,1946,37,0,0,24,Velyne Leeves,False
0068_01,Mars,False,E/4/S,TRAPPIST-1e,,False,793,0,2,253,0,Cinst Binie,False
0069_01,Earth,False,F/16/S,TRAPPIST-1e,42,False,887,0,9,6,0,,True
0070_01,Earth,False,F/13/P,TRAPPIST-1e,19,False,190,0,5,1,726,Meremy Brighttt,False
0071_01,Earth,False,F/14/P,TRAPPIST-1e,17,False,16,2165,0,0,52,Nelly Dillines,False
0072_01,Earth,False,F/17/S,TRAPPIST-1e,14,False,0,1,0,0,1063,Thell Brantuarez,False
0073_01,Mars,False,D/3/P,PSO J318.5-22,37,False,46,83,738,0,12,Gorn Make,False
0074_01,Europa,False,C/3/S,TRAPPIST-1e,42,False,1,8397,0,0,506,Aldibah Mostedry,True
0076_01,Mars,False,F/18/S,TRAPPIST-1e,27,False,147,0,1018,0,0,Conk Dal,True
0077_01,Mars,False,F/15/P,TRAPPIST-1e,28,False,14,0,1295,0,0,Pon Blité,True
0078_01,Europa,False,C/4/S,TRAPPIST-1e,38,False,0,5840,0,321,9654,Spuri Pokerheed,False
0081_01,Earth,True,G/13/S,TRAPPIST-1e,13,False,0,0,0,0,0,Dellie Vinozarks,False
0082_01,Mars,False,F/16/P,TRAPPIST-1e,42,False,7406,0,0,0,0,Totse Datte,False
0082_02,Mars,True,F/16/P,TRAPPIST-1e,2,False,0,0,0,0,0,Eaturs Datte,True
0082_03,Mars,False,F/16/P,TRAPPIST-1e,8,False,0,0,0,0,0,,True
0084_01,Earth,False,G/14/S,TRAPPIST-1e,24,False,688,0,0,0,17,Coren Coopezmaney,True
0085_01,Europa,True,C/5/S,TRAPPIST-1e,40,False,0,0,0,0,0,Furudah Ellcefulve,True
0086_01,Earth,False,F/17/P,TRAPPIST-1e,43,False,211,0,0,638,513,Jodye Kinson,False
0088_01,Mars,True,E/5/S,PSO J318.5-22,45,False,0,0,0,0,0,Stmeal Sacre,True
0090_01,Earth,True,G/15/S,TRAPPIST-1e,35,False,0,0,0,0,0,Heremy Santry,True
0091_01,Earth,True,G/16/S,TRAPPIST-1e,26,False,,0,0,0,0,Deanne Yorkland,True
0091_02,Earth,False,F/20/S,TRAPPIST-1e,27,False,1,697,31,188,0,Tinez Yorkland,False
0092_01,Earth,False,G/9/P,TRAPPIST-1e,19,False,0,0,670,1,34,Gracy Dunnisey,False
0092_02,Earth,True,G/9/P,TRAPPIST-1e,0,False,0,0,,0,0,Stald Hewson,True
0092_03,Earth,True,G/9/P,TRAPPIST-1e,3,False,0,0,0,0,0,Tiney Hewson,True
0097_01,Europa,False,A/2/S,TRAPPIST-1e,54,False,0,1208,0,3,637,Alchium Fictful,False
0098_01,Earth,False,G/11/P,TRAPPIST-1e,26,False,0,856,5,32,0,Doria Carezquez,False
0098_02,Earth,False,G/11/P,TRAPPIST-1e,26,False,0,2811,957,0,87,Leence Carezquez,True
0099_01,Earth,False,F/19/P,PSO J318.5-22,23,False,311,427,526,37,0,Aliey Leetersoney,False
0099_02,Earth,,G/12/P,TRAPPIST-1e,2,False,0,0,0,0,0,Thewis Connelson,True
0101_01,Mars,True,,TRAPPIST-1e,31,False,0,0,0,0,0,Book Trad,True
0102_01,Earth,False,F/23/S,TRAPPIST-1e,18,False,0,0,0,830,91,Ritany Holson,False
0103_01,Earth,False,F/24/S,TRAPPIST-1e,24,False,0,,0,0,17,Arlen Mclainez,True
0103_02,Earth,True,G/18/S,55 Cancri e,9,False,0,0,0,0,0,Shaele Mclainez,True
0103_03,Earth,True,G/18/S,TRAPPIST-1e,6,False,0,0,0,0,0,Fanne Mclainez,False
0105_01,Earth,,F/21/P,TRAPPIST-1e,27,False,0,0,570,2,131,Carry Cleachrand,False
0107_01,Mars,False,D/2/S,TRAPPIST-1e,21,False,1743,5,17,0,0,Coobix Hart,False
0108_01,Earth,True,G/19/S,TRAPPIST-1e,23,False,0,0,0,0,0,Natald Handertiz,False
0108_02,Earth,False,G/19/S,TRAPPIST-1e,31,False,562,0,326,0,0,,False
0108_03,Earth,False,G/19/S,TRAPPIST-1e,0,,0,0,0,0,0,Oline Handertiz,True
0110_01,Europa,False,,TRAPPIST-1e,32,False,0,410,6,3929,764,Graviph Aloubtled,False
0110_02,Europa,,B/5/P,TRAPPIST-1e,40,False,0,331,0,0,1687,Aldeba Bootious,False
0110_03,Europa,False,B/5/P,TRAPPIST-1e,42,False,2209,11418,0,1868,445,Alaratz Aloubtled,True
0110_04,Europa,True,B/5/P,TRAPPIST-1e,28,False,0,0,0,0,0,Izark Aloubtled,True
0111_01,Europa,True,E/6/S,TRAPPIST-1e,29,False,0,0,0,0,0,Aldera Supred,True
0112_01,Europa,False,B/1/S,55 Cancri e,48,True,0,2537,87,17,13,Moth Cowtale,True
0113_01,Earth,False,F/23/P,TRAPPIST-1e,64,False,0,0,804,0,0,Idary Carvis,True
0114_01,Earth,False,G/20/S,TRAPPIST-1e,27,False,82,157,429,238,1,Maura Beckerson,False
0115_01,Mars,,F/24/P,TRAPPIST-1e,26,False,0,0,0,0,,Rohs Pead,True
0116_01,Europa,False,D/4/P,TRAPPIST-1e,33,False,1,2223,0,12,404,Alhenah Suptive,True
0119_01,,False,A/0/P,TRAPPIST-1e,39,False,0,2344,0,65,6898,Batan Coning,False
0119_02,Europa,True,A/0/P,TRAPPIST-1e,13,False,0,0,0,0,0,Kleeiak Coning,True
0120_01,Mars,True,F/25/P,TRAPPIST-1e,24,False,0,0,0,0,,Bees Sacre,True
0122_01,Earth,False,G/21/S,TRAPPIST-1e,29,False,0,0,0,699,74,Shelle Hayder,False
0123_01,Earth,False,F/27/P,TRAPPIST-1e,18,False,55,597,49,0,1,Iree Fielson,False
0126_01,Mars,True,F/27/S,TRAPPIST-1e,67,False,0,0,0,0,0,Milly Mish,True
0127_01,Mars,False,E/7/S,TRAPPIST-1e,35,False,701,0,296,0,25,Miloss Mesty,False
0128_01,Mars,False,D/3/S,TRAPPIST-1e,61,True,2353,334,9,316,2,Grohs Fles,False
0128_02,Mars,False,E/8/S,TRAPPIST-1e,45,False,2103,6,0,0,0,Barave Fles,False
0129_01,Earth,True,G/22/S,PSO J318.5-22,22,False,0,0,,0,0,Race Fowles,True
0133_01,Mars,True,F/29/S,TRAPPIST-1e,19,False,0,0,0,0,0,Flynx Blie,True
0133_02,Mars,False,D/5/S,TRAPPIST-1e,36,False,2738,0,0,0,0,Egrasp Blie,False
0134_01,Earth,False,G/17/P,TRAPPIST-1e,19,False,0,14,730,0,0,Camina Harmontry,True
0136_01,Earth,False,G/23/S,PSO J318.5-22,47,False,97,418,126,25,55,,False
0138_01,Earth,True,G/18/P,TRAPPIST-1e,13,False,0,0,0,0,0,Fayene Gambs,True
0138_02,Earth,False,E/5/P,,34,False,0,22,0,564,207,Monah Gambs,False
0139_01,Europa,True,C/6/S,55 Cancri e,35,False,0,0,0,0,0,Charda Myling,True
0140_01,Earth,True,G/19/P,TRAPPIST-1e,24,False,0,0,0,0,0,Evaley Mejiaddox,True
0140_02,Earth,False,F/29/P,TRAPPIST-1e,26,False,440,0,0,0,462,Verney Whitakers,False
0141_01,Mars,False,F/30/P,TRAPPIST-1e,31,False,,0,97,0,0,Pyrohs Harte,False
0144_01,Earth,False,F/31/S,TRAPPIST-1e,20,False,0,420,210,0,0,Guadae Dayers,True
0146_01,Earth,False,G/25/S,TRAPPIST-1e,56,False,0,0,0,0,0,Verly Wolferguson,False
0147_01,Earth,True,G/26/S,TRAPPIST-1e,50,False,0,0,0,0,0,Samie Hubbarrison,True
0148_01,Mars,False,F/31/P,TRAPPIST-1e,42,False,1072,0,10,0,76,Corsh Pashe,False
0149_01,Earth,True,G/27/S,55 Cancri e,,False,0,0,0,0,0,Billya Hubbarrison,True
0151_01,Earth,True,G/20/P,55 Cancri e,38,False,0,0,0,0,0,Shanie Simson,False
0152_01,Earth,False,F/32/P,,41,False,0,0,0,0,607,Andan Estron,False
0160_01,Earth,False,G/22/P,TRAPPIST-1e,22,False,4119,0,0,0,61,Gory Atkinney,False
0163_01,Europa,True,B/8/P,TRAPPIST-1e,26,False,0,0,0,0,0,Kabiton Hetforhaft,True
0163_02,Europa,True,B/8/P,TRAPPIST-1e,17,False,0,0,0,0,0,Scharab Hetforhaft,True
0164_01,Earth,False,G/28/S,TRAPPIST-1e,57,False,50,1688,0,,135,Fany Hutchinton,True
0164_02,Earth,True,G/28/S,PSO J318.5-22,17,False,0,0,0,0,0,Ianya Hutchinton,False
0165_01,Mars,True,F/37/P,TRAPPIST-1e,35,,0,0,0,0,0,Graven Anche,True
0167_01,Mars,True,F/35/S,TRAPPIST-1e,13,False,0,0,0,0,0,Miten Floaf,True
0167_02,Mars,False,F/35/S,TRAPPIST-1e,27,False,1365,0,48,22,137,Rios Floaf,False
0169_01,Earth,True,G/23/P,TRAPPIST-1e,31,False,0,0,0,0,0,Wandy Fisherry,False
0170_01,Earth,False,E/10/S,TRAPPIST-1e,24,False,0,0,0,221,567,Mollie Mcmahoney,False
0171_01,Earth,True,G/30/S,PSO J318.5-22,19,False,0,0,0,0,0,Coracy Gordanieves,True
0172_01,Earth,True,G/24/P,TRAPPIST-1e,32,False,0,0,0,0,0,Hanna Johnshines,True
0173_01,Earth,,E/11/S,TRAPPIST-1e,58,False,0,985,0,5,0,Hilip Grifford,True
0174_01,Earth,False,F/38/P,55 Cancri e,21,False,287,0,16,115,175,Doryn Lambles,False
0177_01,Europa,False,B/2/S,TRAPPIST-1e,38,False,0,10346,1,14970,2111,Toperon Iniouser,False
0178_01,Mars,False,D/6/S,TRAPPIST-1e,38,False,3414,0,161,28,119,Wees Knik,False
0179_01,Earth,False,G/26/P,TRAPPIST-1e,19,False,1,219,673,2,11,Elaney Webstephrey,True
0179_02,Earth,False,G/26/P,TRAPPIST-1e,0,False,0,0,0,0,0,Raque Webstephrey,False
0179_03,Earth,False,G/26/P,TRAPPIST-1e,3,False,0,0,0,0,0,Sallyl Webstephrey,True
0181_01,Earth,False,G/27/P,TRAPPIST-1e,20,False,0,0,3,299,92,Nancis Brighttt,False
0182_01,Europa,True,C/3/P,TRAPPIST-1e,24,False,0,0,0,0,0,Ksorab Disight,True
0183_01,Earth,False,F/36/S,TRAPPIST-1e,37,False,17,146,426,0,232,Stany Weaves,True
0186_01,Earth,False,G/28/P,TRAPPIST-1e,25,False,62,0,0,0,956,Camiet Shephendry,False
0188_01,Earth,True,G/31/S,TRAPPIST-1e,56,False,0,0,0,0,0,Branda Romez,True
0189_01,Earth,False,E/8/P,55 Cancri e,49,False,84,3,401,202,98,Helly Booters,False
0190_01,Earth,True,G/32/S,55 Cancri e,11,False,0,0,0,0,0,,False
0192_01,Earth,True,G/29/P,TRAPPIST-1e,1,False,0,0,0,0,0,Tance Adavisons,True
0192_02,Earth,False,G/29/P,TRAPPIST-1e,8,False,0,0,0,0,0,Robyny Adavisons,False
0192_03,Earth,False,G/29/P,TRAPPIST-1e,39,False,0,0,10,898,0,Lilace Adavisons,False
0193_01,Mars,True,F/41/P,TRAPPIST-1e,2,False,0,0,0,0,0,Sps Raf,True
0193_02,Mars,False,F/41/P,TRAPPIST-1e,23,False,,0,8,1072,0,Frook Raf,False
0193_03,Mars,False,F/41/P,TRAPPIST-1e,0,False,0,0,0,0,0,Goles Raf,True
0195_01,Mars,False,F/42/P,TRAPPIST-1e,39,False,406,0,867,0,0,Bar Floaf,True
0196_01,Mars,False,D/5/P,PSO J318.5-22,25,False,1052,0,719,0,7,Caper Emead,False
0197_01,Europa,False,C/5/P,TRAPPIST-1e,36,False,0,972,0,795,575,Astrak Dissper,False
0198_01,Earth,,G/30/P,PSO J318.5-22,52,False,0,0,0,0,0,Jeroy Cookson,True
0199_01,Earth,True,G/33/S,TRAPPIST-1e,18,False,0,0,0,0,0,Regana Morrows,False
0200_01,Earth,True,G/31/P,TRAPPIST-1e,15,False,0,0,0,0,0,Elia Colomonson,True
0201_01,Europa,True,B/3/S,TRAPPIST-1e,35,False,0,0,0,0,0,Kaffias Bacistion,True
0201_02,Europa,True,B/3/S,TRAPPIST-1e,47,False,0,0,0,0,0,Edaruma Bacistion,True
0202_01,Europa,True,B/9/P,55 Cancri e,45,False,0,0,0,0,0,Pomera Embleng,True
0202_02,Europa,False,A/2/P,55 Cancri e,,False,0,2433,,878,443,Vegas Embleng,True
0203_01,Europa,True,C/8/S,TRAPPIST-1e,51,False,0,0,0,0,0,Ancham Heateele,True
0205_01,Earth,False,G/34/S,TRAPPIST-1e,29,False,0,2,66,0,705,Carma Oneiles,False
0206_01,Europa,False,C/9/S,55 Cancri e,,False,2,1720,12,1125,122,Nuson Brugashed,True
0207_01,Earth,True,G/32/P,PSO J318.5-22,19,False,0,0,0,0,0,Thony Mcfaddennon,False
0210_01,,True,D/6/P,55 Cancri e,24,False,0,0,,0,0,Arraid Inicont,True
0211_01,Mars,False,F/44/P,TRAPPIST-1e,29,False,902,1,137,0,0,Pebuts Appie,True
0211_02,Mars,True,F/44/P,TRAPPIST-1e,11,False,0,0,0,0,0,Corsh Appie,True
0211_03,Mars,False,F/44/P,TRAPPIST-1e,17,False,848,0,307,182,0,Picers Date,False
0212_01,Earth,False,E/9/P,TRAPPIST-1e,13,False,192,0,0,51,739,Inen Workmans,False
0212_02,Earth,False,F/45/P,TRAPPIST-1e,35,False,147,188,0,10,387,Shally Workmans,False
0213_01,Earth,False,F/46/P,TRAPPIST-1e,21,False,367,281,0,0,146,Carita Navages,False
0216_01,Earth,False,F/40/S,55 Cancri e,21,False,0,56,0,0,1918,Searla Garnes,False
0217_01,Earth,False,F/47/P,TRAPPIST-1e,38,False,1517,0,0,27,0,Prilly Shieldson,False
0219_01,Earth,True,G/36/P,TRAPPIST-1e,19,False,0,0,0,0,0,Nica River,True
0220_01,Earth,True,G/37/P,TRAPPIST-1e,2,False,0,0,0,0,0,Tyle Wilsoney,True
0220_02,Earth,False,G/37/P,TRAPPIST-1e,0,False,0,0,0,0,0,Wena Wilsoney,True
0220_03,Earth,True,G/37/P,TRAPPIST-1e,13,False,0,0,0,0,0,Branca Wilsoney,False
0220_04,Earth,False,E/10/P,TRAPPIST-1e,25,False,122,84,,0,0,Dont Wilsoney,False
0220_05,Earth,False,F/48/P,TRAPPIST-1e,16,False,0,3,0,0,1099,Velyne Wilsoney,False
0220_06,Earth,False,G/37/P,55 Cancri e,1,False,0,0,0,0,0,Weney Wilsoney,False
0220_07,Earth,True,G/37/P,TRAPPIST-1e,15,False,0,0,0,0,0,Guye Wilsoney,True
0221_01,Mars,False,E/13/S,55 Cancri e,21,False,2237,0,119,0,0,Cowhex Blan,False
0221_02,Mars,False,E/13/S,TRAPPIST-1e,23,False,1215,80,1,2,0,Yogark Reke,False
